Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,SL No.,State/UT Name,District Name,Mine Name,Coal/ Lignite Production (MT) (2019-2020),Coal Mine Owner Name,Coal Mine Owner Full Name,Coal/Lignite,Govt Owned/Private,Type of Mine (OC/UG/Mixed),Latitude ,Longitude ,Source,Accuracy (exact vs approximate),Methane_Emissions_m3,Methane_Emissions_kg,CO2_Emissions_per_Ton,CO2_Emissions,Carbon Footprint_kgCO2e
54,54,54,54,55,West Bengal,Paschim Bardhaman,BHANORA W/B (UG & OC),0.48,ECL,Eastern Coalfields Limited,Bituminous,G,Mixed,23.7276,86.9943,"Google Maps: https://www.google.com/maps/place/Bhanora+West+Block+Colliery/@23.7275679,86.9941439,21z/data=!4m5!3m4!1s0x39f718a674a78e49:0x3d709593e1a2f07a!8m2!3d23.727563!4d86.9942807",Exact,0.0,0.0,2440.68,1171.5264,1171.5264
55,55,55,55,56,West Bengal,Paschim Bardhaman,"MADHABPUR UG & MADHABPUR
OC",0.38,ECL,Eastern Coalfields Limited,Bituminous,G,Mixed,23.6313,87.1746,"Google Maps: https://www.google.com/maps/place/Madhabpur+colliery/@23.6312957,87.1744229,21z/data=!4m5!3m4!1s0x39f71385287952c3:0x172f88d58480882e!8m2!3d23.6312908!4d87.1745597",Exact,0.0,0.0,2440.68,927.4584,927.4584
56,56,56,56,57,West Bengal,Paschim Bardhaman,NIMCHA COLLY,0.34,ECL,Eastern Coalfields Limited,Bituminous,G,Mixed,23.7495,86.8572,"Google Maps: https://www.google.com/maps/place/Nimcha+Colliery/@23.7493154,86.8549058,17z/data=!3m1!4b1!4m5!3m4!1s0x39f710a5668bad0f:0xa0cfdabfdd649152!8m2!3d23.7493105!4d86.8570945",Exact,0.0,0.0,2440.68,829.8312,829.8312
57,57,57,57,58,West Bengal,Paschim Bardhaman,BANSRA,0.73,ECL,Eastern Coalfields Limited,Bituminous,G,Mixed,23.6296,87.1382,"Google Maps: https://www.google.com/maps/place/ECL+-+C+Pit+Bansra+Colliery/@23.629646,87.1380649,21z/data=!4m5!3m4!1s0x39f71159e3dcc4b3:0x44c70e977d6344eb!8m2!3d23.6296411!4d87.1382017",Exact,0.0,0.0,2440.68,1781.6963999999998,1781.6963999999998
58,58,58,58,59,West Bengal,Paschim Bardhaman,NAKRAKONDA.KUMARDIH B,0.18,ECL,Eastern Coalfields Limited,Bituminous,G,Mixed,23.67963,87.28763,"https://www.google.com/maps/place/Nakrakonda+Branch+Post+Office/@23.6804687,87.2853027,17z/data=!4m13!1m7!3m6!1s0x39f76bcf590ed005:0x2efbd8ec0348bd0e!2sNakrakonda,+West+Bengal+713363,+India!3b1!8m2!3d23.6808856!4d87.287321!3m4!1s0x39f76bc5fb0f1cc9:0xa7be40ec3b6a7937!8m2!3d23.6795495!4d87.2871179",Exact,0.0,0.0,2440.68,439.32239999999996,439.32239999999996
59,59,59,59,60,West Bengal,Paschim Bardhaman,"CHORA BLOCK INCLINE,
SHANKARPUR OC &
BONBAHAL OC",0.74,ECL,Eastern Coalfields Limited,Bituminous,G,Mixed,23.6729,87.2033,"Google Maps: https://www.google.com/maps/place/Chora+Block+Incline/@23.6730331,87.2027107,19z/data=!4m12!1m6!3m5!1s0x39f714c21f076f0d:0xfa4f8c22d49c8f6e!2sChora+Block+Incline!8m2!3d23.6728971!4d87.2032146!3m4!1s0x39f714c21f076f0d:0xfa4f8c22d49c8f6e!8m2!3d23.6728971!4d87.2032146",Approximate: coordinates of Chora Block Incline,0.0,0.0,2440.68,1806.1031999999998,1806.1031999999998
60,60,60,60,61,West Bengal,Paschim Bardhaman,NEW KENDA UG & OC,0.16,ECL,Eastern Coalfields Limited,Bituminous,G,Mixed,23.6657,87.1624,"Google Maps: https://www.google.com/maps/place/NEW+KENDA+COLLIERY+OFFICE/@23.6656549,87.1622752,21z/data=!4m5!3m4!1s0x39f7146aac78af83:0xd104b63811e92e65!8m2!3d23.66565!4d87.162412",Approximate: coordinates of New Kenda colliery office,0.0,0.0,2440.68,390.5088,390.5088
61,61,61,61,62,West Bengal,Paschim Bardhaman,DAMAGORIA,0.14,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.7611,86.8531,"Google Maps: https://www.google.com/maps/place/Damagoria+Colliery/@23.7610966,86.8528888,20z/data=!4m5!3m4!1s0x39f6df9c5597260f:0x1efec0933571eeef!8m2!3d23.7610982!4d86.8531588",Exact,0.168,0.120456,2440.68,341.6952,344.7066
62,62,62,62,63,West Bengal,Paschim Bardhaman,MADHAIPUR,0.37,ECL,Eastern Coalfields Limited,Bituminous,G,Mixed,23.7037,87.3467,"Google Maps: https://www.google.com/maps/search/MADHAIPUR+COLLIERY/@23.7037576,87.3445963,17z/data=!3m1!4b1",Exact,0.0,0.0,2440.68,903.0515999999999,903.0515999999999
63,63,63,64,65,West Bengal,Paschim Bardhaman,Ramnagar coal mine (CAPTIVE),0.23,SAIL,Steel Authority of India Limited,Bituminous,G,OC,23.7564,86.8359,"Google Maps: https://www.google.com/maps/place/Ramnagar+Colliery/@23.7563451,86.8356417,19z/data=!4m5!3m4!1s0x39f6de6cbe0a9e5d:0x8008da659ccd3f7f!8m2!3d23.756322!4d86.8358389",Exact,0.276,0.197892,2440.68,561.3564,566.3037
64,64,64,66,67,West Bengal,Bankura, KALIDASPUR PROJECT ,0.09,ECL,Eastern Coalfields Limited,Bituminous,G,UG,23.5939,87.0365,"Google Maps: https://www.google.com/maps/place/Kalidaspur+UG+Mine+(ECL),+Agent+Office/@23.5940465,87.0337199,17z/data=!4m5!3m4!1s0x39f71b408355fbdd:0x38fe7dbe74e33def!8m2!3d23.5938493!4d87.0365262",Approximate: coordinates of Kalidaspur UG Mine Agent Office,1.62,1.16154,2440.68,219.66119999999998,248.69969999999998
65,65,65,67,68,West Bengal,Purulia, PARBELIA ,0.06,ECL,Eastern Coalfields Limited,Bituminous,G,UG,23.6733,86.8257,"Google Maps: https://www.google.com/maps/place/PARBELIA+COLLIERY/@23.6733327,86.8253701,20z/data=!4m13!1m7!3m6!1s0x39f6e11783aa9807:0x97a764e98aa33d4a!2sParbelia,+West+Bengal+713324,+India!3b1!8m2!3d23.6742592!4d86.8195237!3m4!1s0x39f6e12db8d034a9:0xa9493a67a59c8bbf!8m2!3d23.6733053!4d86.8256781",Approximate: PIN 713324,1.08,0.77436,2440.68,146.4408,165.7998
66,66,66,68,69,West Bengal,Purulia, DUBESWARI ,0.06,ECL,Eastern Coalfields Limited,Bituminous,G,UG,23.6615,86.8235,"Google Maps: https://www.google.com/maps/place/Dubeswari+mine/@23.6614217,86.8232425,19z/data=!4m12!1m6!3m5!1s0x39f6e19cd6435dc5:0x9d822cc4ed1a1a90!2sDubeswari+Colliery+Incline+Office!8m2!3d23.6611985!4d86.8237565!3m4!1s0x39f6e13516e0b83f:0xbf8d53a277f5277!8m2!3d23.6615031!4d86.8235202",Approximate: PIN 713324,1.08,0.77436,2440.68,146.4408,165.7998
67,67,67,70,71,Jharkhand ,Godda,RAJMAHAL,17.37,ECL,Eastern Coalfields Limited,Bituminous,G,OC,25.038,87.3538,"Google Maps: https://www.google.com/maps/place/Rajmahal+Coal+Mines,+Lalmatia,+Jharkhand+814165,+India/@25.0381658,87.3533988,19z/data=!4m5!3m4!1s0x39f0651106eedb73:0xd9b47a3635bdc9d3!8m2!3d25.0379784!4d87.3537738",Exact,20.844,14.945148,2440.68,42394.6116,42768.2403
68,68,68,71,72,Jharkhand ,Godda,HURRA 'C',0.0,ECL,Eastern Coalfields Limited,Bituminous,G,OC,24.9867,87.3808,"Google Maps: https://www.google.com/maps/place/Hura+C+OC+patch+mine/@24.9867184,87.3806901,21z/data=!4m5!3m4!1s0x39f064ad4a3916a7:0xfcc310810789294a!8m2!3d24.9867136!4d87.3808269",Exact,0.0,0.0,2440.68,0.0,0.0
69,69,69,72,73,Jharkhand ,Deoghar,CHITRA EAST,2.05,ECL,Eastern Coalfields Limited,Bituminous,G,OC,24.119,86.8636,"Google Maps: https://www.google.com/maps/place/Chitra+Colliery+Open+Mines/@24.1256011,86.8448806,14z/data=!4m5!3m4!1s0x39f12ad674df3cb5:0xd1f3e072fd350b4f!8m2!3d24.1180257!4d86.8634995",Approximate: PIN 815357,2.46,1.76382,2440.68,5003.393999999999,5047.4895
70,70,70,73,74,Jharkhand ,Dhanbad ,Tasra (CAPTIVE),0.185,SAIL,Steel Authority of India Limited,Bituminous,G,OC,23.6532,86.4704,Tasra Coal Mining Project Monitoring Report: http://environmentclearance.nic.in/writereaddata/Monitoring/9CD0QBFP_103-156%20to%20upload.pdf,Exact,0.222,0.1591739999999999,2440.68,451.52579999999995,455.50514999999996
71,71,71,74,75,Jharkhand ,Dhanbad ,Jitpur (CAPTIVE),0.092,IISCO,IISCO Steel Plant of Steel Authority of India Limited,Bituminous,G,OC,23.715107,86.390695,"Google Maps: https://www.google.com/maps/place/Jitpur+Colliery/@23.7131085,86.3862968,997m/data=!3m1!1e3!4m5!3m4!1s0x39f69870cfcaf4d1:0x64d1b6343bee3944!8m2!3d23.7149044!4d86.3901007",Approximate: Jitpur colliery,0.1104,0.0791568,2440.68,224.54255999999998,226.52147999999997
72,72,72,75,76,Jharkhand ,Dhanbad ,Chasnala (CAPTIVE),0.35,IISCO,IISCO Steel Plant of Steel Authority of India Limited,Bituminous,G,OC,23.665,86.4568,Chasnalla Colliery Environmental Clearance: http://environmentclearance.nic.in/writereaddata/Online/TOR/0_0_01_Feb_2015_1936207101Annexure-Briefsummaryofproject.pdf,Exact,0.42,0.3011399999999999,2440.68,854.2379999999999,861.7665
73,73,73,76,77,Jharkhand ,Dhanbad , BADJNA ,0.07,ECL,Eastern Coalfields Limited,Bituminous,G,UG,23.8004,86.6957,"Google Maps: https://www.google.com/maps/place/Badjna+Colliery/@23.8003731,86.6955444,21z/data=!4m5!3m4!1s0x39f6c398ba88f0a9:0x3fc4ea95610a8f3!8m2!3d23.8003735!4d86.6956802",Exact,1.26,0.90342,2440.68,170.8476,193.4331
74,74,74,77,78,Jharkhand ,Dhanbad ,HARIAJAM,0.06,ECL,Eastern Coalfields Limited,Bituminous,G,UG,23.7926,86.6903,"Google Maps: https://www.google.com/maps/place/Hariajam+Colliery,Mugam+Area/@23.7926363,86.690195,21z/data=!4m5!3m4!1s0x39f6c3bb434e6f45:0x24c09522ec8a8dd3!8m2!3d23.7926314!4d86.6903318",Exact,1.08,0.77436,2440.68,146.4408,165.7998
75,75,75,78,79,Jharkhand ,Dhanbad ,LAKHIMATA,0.08,ECL,Eastern Coalfields Limited,Bituminous,G,UG,23.7729,86.7314,"Google Maps: https://www.google.com/maps/place/Lakhimata+underground+mines/@23.77294,86.731284,21z/data=!4m5!3m4!1s0x39f6c30ccba5dcd3:0xd5c1a685a34a9e0c!8m2!3d23.7729364!4d86.7314205",Exact,1.44,1.0324799999999998,2440.68,195.2544,221.0664
76,76,76,79,80,Jharkhand ,Dhanbad ,SHAYAMPUR-B ,0.08,ECL,Eastern Coalfields Limited,Bituminous,G,UG,23.7623,86.7321,"Google Maps: https://www.google.com/maps/place/Shyampur+B+Colliery/@23.7622543,86.7319375,21z/data=!4m5!3m4!1s0x39f6c2cf850cb66b:0x1983dcb4eeb5750a!8m2!3d23.7622494!4d86.7320743",Exact,1.44,1.0324799999999998,2440.68,195.2544,221.0664
77,77,77,80,81,Jharkhand ,Dhanbad ,KUMARDHUBI,0.03,ECL,Eastern Coalfields Limited,Bituminous,G,UG,23.7464,86.7962,"Google Maps: https://www.google.com/maps/place/Kumardhubi+Colliery/@23.7463196,86.794797,18z/data=!4m5!3m4!1s0x39f6dd916bbe4681:0x7e617a5031235775!8m2!3d23.746316!4d86.7958911",Exact,0.54,0.38718,2440.68,73.2204,82.8999
78,78,78,81,82,Jharkhand ,Dhanbad ,KHOODIA,0.04,ECL,Eastern Coalfields Limited,Bituminous,G,UG,23.7738,86.7297,"Google Maps: https://www.google.com/maps/place/Khoodia+Colliery/@23.7737819,86.7295822,21z/data=!4m5!3m4!1s0x39f6c3a5c74f86b3:0x45a0230bb716b3a7!8m2!3d23.773777!4d86.729719",Exact,0.72,0.5162399999999999,2440.68,97.6272,110.5332
79,79,79,82,83,Jharkhand ,Dhanbad ,RAJPURA,0.21,ECL,Eastern Coalfields Limited,Bituminous,G,OC,23.7586,86.7731,"Google Maps: https://www.google.com/maps/place/Rajpura+Colliery+R.+O.+C.+P/@23.7586566,86.7722678,18.5z/data=!4m5!3m4!1s0x39f6dd4497483e97:0x7a116baa362bbcf1!8m2!3d23.7585284!4d86.7730595",Exact,0.252,0.1806839999999999,2440.68,512.5427999999999,517.0599
80,80,80,83,84,Jharkhand ,Dhanbad ,BARMURI,0.43,ECL,Eastern Coalfields Limited,Bituminous,G,OC,23.7525,86.812,"Google Maps: https://www.google.com/maps/place/Baramuri,+Jharkhand,+India/@23.7502394,86.8082603,15z/data=!3m1!4b1!4m5!3m4!1s0x39f6dde134d2b62b:0x9ebb6071e35cf7c!8m2!3d23.751428!4d86.8145025",Approximate coordinates of Baramuri area,0.516,0.3699719999999999,2440.68,1049.4923999999999,1058.7416999999998
81,81,81,84,85,Jharkhand ,Dhanbad ,KAPASARA,0.4,ECL,Eastern Coalfields Limited,Bituminous,G,OC,23.7585,86.7545,"Google Maps: https://www.google.com/maps/place/Kapasara,+Jharkhand,+India/@23.7574294,86.7443251,15z/data=!3m1!4b1!4m8!1m2!2m1!1sKAPASARA+colliery!3m4!1s0x39f6dd39bfa9aa25:0x62475c483fe10119!8m2!3d23.7576345!4d86.755465",Approximate coordinates of Kapasara area,0.48,0.3441599999999999,2440.68,976.2719999999999,984.876
82,82,82,85,86,Jharkhand ,Dhanbad ,NIRSHA,0.19,ECL,Eastern Coalfields Limited,Bituminous,G,OC,23.7873,86.7058,"Google Maps: https://www.google.com/maps/place/Nirsa,+Jharkhand+828205,+India/@23.7869739,86.697042,15z/data=!3m1!4b1!4m5!3m4!1s0x39f6c3060fa01c31:0xd212d28573278bbb!8m2!3d23.7847768!4d86.7039059",Approximate: center coordinates of Nirsa,0.228,0.163476,2440.68,463.7292,467.8161
83,83,83,86,87,Jharkhand ,Dhanbad , CHAPAPUR -II ,0.18,ECL,Eastern Coalfields Limited,Bituminous,G,Mixed,23.8049,86.6755,"Google Maps: https://www.google.com/maps/place/Chapapur+2+Colliery/@23.8049517,86.6753025,20z/data=!4m5!3m4!1s0x39f6c3e31ed23287:0xa547e8ce2914ff87!8m2!3d23.804905!4d86.675497",Exact,0.0,0.0,2440.68,439.32239999999996,439.32239999999996
84,84,84,87,88,Jharkhand ,Dhanbad ,JOGIDIH ,0.04,BCCL,Bharat Coking Coal Limited,Bituminous,G,UG,23.8087,86.26037,"Google Maps: https://www.google.com/maps/place/BCCL+Area+3+Jogidih+Colliery/@23.8086472,86.2580544,17z/data=!4m8!1m2!2m1!1sBCCL+jogidih+colliery!3m4!1s0x39f6a1d3b4726f77:0xafdf08e37ab70dce!8m2!3d23.8086573!4d86.2603016",Exact,0.72,0.5162399999999999,2440.68,97.6272,110.5332
85,85,85,88,89,Jharkhand ,Dhanbad ,KHARKAREE,0.02,BCCL,Bharat Coking Coal Limited,Bituminous,G,UG,23.7773,86.2391,"Google Maps: https://www.google.com/maps/place/BCCL+Kharkharee+Colliery+Office/@23.7772752,86.2379997,18z/data=!3m1!4b1!4m5!3m4!1s0x39f41e39d66b6ff5:0xa2950427c0ef8675!8m2!3d23.7772727!4d86.239094",Approximate: coordinates of BCCL Kharkharee Colliery Office,0.36,0.2581199999999999,2440.68,48.8136,55.2666
86,86,86,89,90,Jharkhand ,Dhanbad ,MAHESHPUR,0.02,BCCL,Bharat Coking Coal Limited,Bituminous,G,UG,23.7864,86.2556,"Google Maps: https://www.google.com/maps/place/Maheshpur+Colliery,+UG+Coal+Mine/@23.7863478,86.2553703,20z/data=!4m5!3m4!1s0x39f41e2089bbfa81:0x8e61794731f03748!8m2!3d23.786364!4d86.2556399",Exact,0.36,0.2581199999999999,2440.68,48.8136,55.2666
87,87,87,90,91,Jharkhand ,Dhanbad ,SALANPUR,0.07,BCCL,Bharat Coking Coal Limited,Bituminous,G,UG,23.8083,86.298,"Google Maps: https://www.google.com/maps/place/Salanpur+Mines/@23.8081934,86.2977071,20z/data=!4m5!3m4!1s0x39f6a129f62190b7:0x1da91b346bfa5dc6!8m2!3d23.8082729!4d86.2979648",Exact,1.26,0.90342,2440.68,170.8476,193.4331
88,88,88,91,92,Jharkhand ,Dhanbad ,MUUDIDIH,0.01,BCCL,Bharat Coking Coal Limited,Bituminous,G,UG,23.74128,86.35299,"https://www.google.com/maps/place/B.C.C.L+Colliery,+Moonidih,+Dhanbad/@23.7424362,86.3457621,16.64z/data=!4m13!1m7!3m6!1s0x39f6a217c822a9ef:0x46e571290d7bc453!2sMoonidih,+Jharkhand,+India!3b1!8m2!3d23.7434016!4d86.3486763!3m4!1s0x39f6a223027a1d71:0x66e2603d776126a1!8m2!3d23.7410012!4d86.352708",Exact,0.18,0.1290599999999999,2440.68,24.4068,27.6333
89,89,89,92,93,Jharkhand ,Dhanbad ,BHAGABAND,0.02,BCCL,Bharat Coking Coal Limited,Bituminous,G,UG,23.7416,86.3861,"Google Maps: https://www.google.com/maps/place/Bhagabandh+Colliery/@23.7415281,86.3859519,20z/data=!4m12!1m6!3m5!1s0x39f6a37ca7e0294b:0x274b30041b3a756!2sBhagabandh+Colliery!8m2!3d23.7416153!4d86.3824436!3m4!1s0x39f6a28dac247b4f:0x63ebbf4d915eafdf!8m2!3d23.7415573!4d86.3861062",Exact,0.36,0.2581199999999999,2440.68,48.8136,55.2666
90,90,90,93,94,Jharkhand ,Dhanbad ,"P, B. PROJECT",0.02,BCCL,Bharat Coking Coal Limited,Bituminous,G,UG,23.7553,86.3633,"Google Maps: https://www.google.com/maps/place/P.B.Project,+B.C.C.L.+Office,+Aralgaria+Road,+Aralgoria,+Jharkhand+828116,+India/@23.7552552,86.3632006,21z/data=!4m5!3m4!1s0x39f6a245e1389b13:0x68b4b44d26ffb782!8m2!3d23.7552556!4d86.3633364",Exact,0.36,0.2581199999999999,2440.68,48.8136,55.2666
91,91,91,94,95,Jharkhand ,Dhanbad ,KB 10/12 PITS UG,0.003,BCCL,Bharat Coking Coal Limited,Bituminous,G,UG,23.7556,86.3759,"Google Maps: https://www.google.com/maps/place/Baliari,+Jharkhand,+India/@23.7544494,86.3666352,15z/data=!3m1!4b1!4m8!1m2!2m1!1sKachi+Balihari+Mine!3m4!1s0x39f6a25018704e89:0x9a04d6cd10375da7!8m2!3d23.7536878!4d86.3756867",Approximate: center coordinates of Baliari area,0.054,0.0387179999999999,2440.68,7.322039999999999,8.289989999999996
92,92,92,95,96,Jharkhand ,Dhanbad ,BASTACOLLA,0.13,BCCL,Bharat Coking Coal Limited,Bituminous,G,UG,23.7634,86.4163,"Google Maps: https://www.google.com/maps/place/Basta+colla+colliery+office/@23.7634763,86.4160208,19z/data=!4m8!1m2!2m1!1sBASTACOLLA+colliery!3m4!1s0x0:0x490a7a75b6a127e4!8m2!3d23.7633602!4d86.4162774",Approximate: coordinates of Basta colla colliery office,2.34,1.6777799999999998,2440.68,317.28839999999997,359.2329
93,93,93,96,97,Jharkhand ,Dhanbad ,"BHOWRAH(NORTH)
COLLIERY",0.01,BCCL,Bharat Coking Coal Limited,Bituminous,G,UG,23.688,86.399,"Google Maps: https://www.google.com/maps/place/Bhowra+High+School+Ground,+Pathardih,+Jharkhand+828302,+India/@23.686477,86.3962123,672m/data=!3m1!1e3!4m8!1m2!2m1!1sBHOWRAH+colliery!3m4!1s0x39f6983871e0e615:0x5b5a2231bf81c58c!8m2!3d23.6878476!4d86.3990331",Approximate: coordinates of Bhowra High School Ground,0.18,0.1290599999999999,2440.68,24.4068,27.6333
94,94,94,97,98,Jharkhand ,Dhanbad ,MOONIDIH PROJECT,0.53,BCCL,Bharat Coking Coal Limited,Bituminous,G,UG,23.741,86.3527,"Google Maps: https://www.google.com/maps/place/B.C.C.L+Colliery,+Moonidih,+Dhanbad/@23.7410103,86.3526427,21z/data=!4m5!3m4!1s0x39f6a223027a1d71:0x66e2603d776126a1!8m2!3d23.7410005!4d86.3527077",Exact,9.54,6.840179999999999,2440.68,1293.5604,1464.5649
95,95,95,98,99,Jharkhand ,Dhanbad ,MURAIDIH,1.04,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.808,86.2389,"Google Maps: https://www.google.com/maps/place/Muraidih,+Jharkhand,+India/@23.8079193,86.2299052,15z/data=!3m1!4b1!4m5!3m4!1s0x39f41e0b7616ecb7:0x3fca938196118e26!8m2!3d23.8098348!4d86.2387144",Approximate: center coordinates of Muraidih area,1.248,0.894816,2440.68,2538.3071999999997,2560.6775999999995
96,96,96,99,100,Jharkhand ,Dhanbad ,AMALGAMATED BOCP MINE,1.65,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.757223,86.794456,"https://www.google.com/maps/place/BOCP+Coal+Depot/@23.7569628,86.792224,17z/data=!4m12!1m6!3m5!1s0x39f6ddf44f2cbfb5:0x5b935c1887eccaa2!2sBOCP+Coal+Depot!8m2!3d23.7569579!4d86.7944127!3m4!1s0x39f6ddf44f2cbfb5:0x5b935c1887eccaa2!8m2!3d23.7569579!4d86.7944127",Exact,1.98,1.41966,2440.68,4027.1219999999994,4062.6134999999995
97,97,97,100,101,Jharkhand ,Dhanbad ,"AMALGAMTED BLOCK-IV GOVINDPUR
COLLIERY(ABGC)",0.58,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.801052,86.276965,"https://www.google.com/maps/place/Govindpur+Colliery+Office,+BCCL/@23.8008897,86.2745404,17z/data=!3m1!4b1!4m5!3m4!1s0x39f6a0b809c9a197:0xfb13935946cebcf6!8m2!3d23.8008848!4d86.2767291",Exact,0.696,0.4990319999999999,2440.68,1415.5943999999997,1428.0701999999997
98,98,98,101,102,Jharkhand ,Dhanbad ,NICHITPUR,0.61,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.7917,86.3444,FORM- I FOR CLUSTER V OF BCCL MINES: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/13092017UZBIBOX5Annexure-UpdatedForm1Letter.pdf,Exact,0.732,0.524844,2440.68,1488.8147999999999,1501.9359
99,99,99,102,103,Jharkhand ,Dhanbad ,SENDRA BANSJORA,1.17,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.7875,86.3472,FORM- I FOR CLUSTER V OF BCCL MINES: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/13092017UZBIBOX5Annexure-UpdatedForm1Letter.pdf,Exact,1.404,1.006668,2440.68,2855.5955999999996,2880.7623
100,100,100,103,104,Jharkhand ,Dhanbad ,KANKANEE,0.38,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.775,86.3417,FORM- I FOR CLUSTER V OF BCCL MINES: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/13092017UZBIBOX5Annexure-UpdatedForm1Letter.pdf,Exact,0.456,0.326952,2440.68,927.4584,935.6322
101,101,101,104,105,Jharkhand ,Dhanbad ,BANSDEOPUR,0.03,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.725,86.3625,FORM- I FOR CLUSTER V OF BCCL MINES: http://environmentclearance.nic.in/writereaddata/modification/PreviousTOR/13092017UZBIBOX5Annexure-UpdatedForm1Letter.pdf,Exact,0.036,0.0258119999999999,2440.68,73.2204,73.86569999999999
102,102,102,105,106,Jharkhand ,Dhanbad ,E. BASSURIYA,0.54,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.7979,86.3694,BCCL FEASIBILITY REPORT OF EAST BASURIA COLLIERY: http://forestsclearance.nic.in/writereaddata/FormA/Miningletter/11111812371217MQDPLFR_EastBasuriaOCFinal.pdf,Exact,0.648,0.464616,2440.68,1317.9672,1329.5826
103,103,103,106,107,Jharkhand ,Dhanbad ,"AMALGAMATED DHANSAR. INOUSTRY.
COLLIERY",0.83,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.774454,86.413494,"https://www.google.com/maps/search/DHANSAR+Open+Cast+Dhanbad,+Jharkhand,+India/@23.7746274,86.4128738,142m/data=!3m1!1e3",Approximate coordinates of Dhansar area,0.996,0.714132,2440.68,2025.7643999999998,2043.6176999999998
104,104,104,107,108,Jharkhand ,Dhanbad ,ENA,1.67,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.7568,86.4094,"Google Maps: https://www.google.com/maps/place/PRATHMIK+VHIDYALAYA+ENA+COLLIERY/@23.7568029,86.4083096,18z/data=!4m8!1m2!2m1!1sena!3m4!1s0x39f6a2cfe5a05975:0x873397910b0d303d!8m2!3d23.7568029!4d86.4094039",Approximate: coordinates of primary school in Ena Colliery area,2.004,1.436868,2440.68,4075.9355999999993,4111.8573
105,105,105,108,109,Jharkhand ,Dhanbad ,KENDUADIH,0.13,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.7371,86.3744,"Google Maps: https://www.google.com/maps/place/Kenduadih,+Jharkhand,+India/@23.7356778,86.364136,15z/data=!4m5!3m4!1s0x39f6a30f2b35bfe7:0xe845a84ac7861f6d!8m2!3d23.7358628!4d86.3756867",Approximate: coordinates of Kenduadih area,0.156,0.111852,2440.68,317.28839999999997,320.08469999999994
106,106,106,109,110,Jharkhand ,Dhanbad ,ROCP,2.23,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.75593,86.420997,"Google Maps: https://www.google.com/maps/search/ROCP+OCP++%2B++Dhanbad/@23.7561624,86.4174075,646m/data=!3m1!1e3",Approximate: coordinates of ROCP area,2.676,1.918692,2440.68,5442.716399999999,5490.6837
107,107,107,110,111,Jharkhand ,Dhanbad ,"AMALGAMATEO N.T.S.T. JEENAGORA
COLLIERY",2.54,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.7028,86.4403,"Google Maps: https://www.google.com/maps/place/Jeenagora+BCCL+hospital+828115/@23.7027069,86.4395571,18z/data=!4m13!1m7!3m6!1s0x39f697c276994f67:0xae721e1011518943!2sJeenagora,+Tisra,+Jharkhand,+India!3b1!8m2!3d23.7085806!4d86.4432206!3m4!1s0x39f697c1b8c877e7:0x89589cbcea9623bd!8m2!3d23.7027726!4d86.4403251",Approximate: coordinates of Jeenagora BCCL hospital,3.048,2.185416,2440.68,6199.3272,6253.9626
108,108,108,111,112,Jharkhand ,Dhanbad ,AMALGAMATEO SUDAMDIH. PATHERDIH COLLIERY,0.18,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.667,86.432,"Google Maps: https://www.google.com/maps/place/Patherdih+Colliery+Agent's+Office/@23.6670663,86.4315285,20z/data=!4m5!3m4!1s0x39f6977119f6c947:0x267fe894a9f1e342!8m2!3d23.6669928!4d86.431963",Approximate: coordinates of Patherdih Colliery Agent's Office,0.216,0.1548719999999999,2440.68,439.32239999999996,443.19419999999997
109,109,109,112,113,Jharkhand ,Dhanbad ,BASANTIMATA-DAHIBARI COLLIERY,0.78,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.725,86.7465,BCCL Website: http://www.bcclweb.in/?page_id=1715,Exact,0.936,0.671112,2440.68,1903.7304,1920.5082
110,110,110,113,114,Jharkhand ,Dhanbad ,AGKCC,0.16,BCCL,Bharat Coking Coal Limited,Bituminous,G,OC,23.80984,86.291791,"Google Maps: https://www.google.com/maps/search/GAZLITAND+KATRAS+CHOITIDIH+COLLIERY%2B+Dhanbad,+Jharkhand,+India/@23.8096044,86.2773718,6758m/data=!3m2!1e3!4b1",Approximate: coordinates of the Khatras area,0.192,0.137664,2440.68,390.5088,393.9504
